ScoreID,SessionID,ShotNumber,ReactionTime,PositionX,PositionY,GameType,RecordedAt
1,2,1,2.32,2.09,1.66,Target,2025-03-26 20:25:03
2,2,2,4.13,0.31,-2.35,Target,2025-03-26 20:25:04
3,2,3,7.36,0.26,-5.25,Target,2025-03-26 20:25:06
4,2,4,3.93,-8.77,4.04,Target,2025-03-26 20:25:07
5,2,5,2.32,2.09,1.66,Target,2025-03-26 20:25:08
6,2,1,1.23,-2.09,-0.51,Shooting,2025-03-26 20:25:40
7,2,2,1.66,1.88,0.16,Shooting,2025-03-26 20:25:46
8,2,3,0.26,0.4,0.17,Shooting,2025-03-26 20:25:48
9,2,4,0.26,1.88,0.16,Shooting,2025-03-26 20:25:53
10,2,5,0.31,1.88,0.16,Shooting,2025-03-26 20:25:56
11,3,1,0.97,-2.18,-5.46,Target,2025-03-26 20:54:00
12,3,2,1.25,-0.51,0.55,Target,2025-03-26 20:54:01
13,3,3,1.28,0.13,0.39,Target,2025-03-26 20:54:02
14,3,4,0.97,-2.18,-5.46,Target,2025-03-26 20:54:04
15,3,1,0.87,0.16,-0.26,Shooting,2025-03-26 20:54:26
16,3,2,0.5,2.41,1.99,Shooting,2025-03-26 20:54:31
17,3,3,0.78,1.84,0.03,Shooting,2025-03-26 20:54:36
18,3,4,0.7,0.44,0.3,Shooting,2025-03-26 20:54:39
19,3,5,0.8,1.28,1.99,Shooting,2025-03-26 20:54:42
20,4,1,3.0,-1.37,0.74,Target,2025-03-26 21:03:48
21,4,2,2.49,-0.75,-3.98,Target,2025-03-26 21:03:51
22,4,3,4.17,2.35,-0.05,Target,2025-03-26 21:03:52
23,4,4,7.07,1.38,-1.51,Target,2025-03-26 21:03:53
24,4,5,3.0,-1.37,0.74,Target,2025-03-26 21:03:56
25,4,1,1.99,-1.56,-0.16,Shooting,2025-03-26 21:04:56
26,4,2,0.36,-1.56,-0.16,Shooting,2025-03-26 21:05:01
27,4,3,0.31,-1.56,-0.16,Shooting,2025-03-26 21:05:04
28,4,4,1.2,0.18,0.72,Shooting,2025-03-26 21:05:09
29,4,5,0.49,0.18,0.72,Shooting,2025-03-26 21:05:13
30,5,1,1.06,-1.6,0.52,Target,2025-03-26 21:23:26
31,5,2,1.2,-0.18,2.41,Target,2025-03-26 21:23:27
32,5,3,1.09,1.18,0.19,Target,2025-03-26 21:23:28
33,5,4,0.73,-0.29,1.02,Target,2025-03-26 21:23:28
34,5,5,1.06,-1.6,0.52,Target,2025-03-26 21:23:29
35,5,1,0.6,1.29,-0.59,Shooting,2025-03-26 21:23:46
36,5,2,1.01,1.29,-0.59,Shooting,2025-03-26 21:23:49
37,5,3,0.24,1.0,0.28,Shooting,2025-03-26 21:23:52
38,5,4,0.25,1.0,0.28,Shooting,2025-03-26 21:23:57
39,5,5,0.23,1.0,0.28,Shooting,2025-03-26 21:24:01
40,6,1,1.49,0.26,-1.25,Target,2025-03-27 12:04:02
41,6,2,1.56,-3.28,0.18,Target,2025-03-27 12:04:03
42,6,3,1.26,-0.91,0.03,Target,2025-03-27 12:04:04
43,6,4,1.63,0.52,-1.5,Target,2025-03-27 12:04:05
44,6,5,1.49,0.26,-1.25,Target,2025-03-27 12:04:06
45,6,1,0.51,1.04,0.09,Shooting,2025-03-27 12:04:41
46,6,2,0.43,1.04,0.09,Shooting,2025-03-27 12:04:46
47,6,3,0.24,1.04,0.09,Shooting,2025-03-27 12:04:49
48,6,4,0.24,1.04,0.09,Shooting,2025-03-27 12:04:53
49,6,5,0.24,1.04,0.09,Shooting,2025-03-27 12:04:58
50,7,1,0.54,-1.3,-0.26,Target,2025-03-27 15:20:25
51,7,2,0.7,-0.64,-0.98,Target,2025-03-27 15:20:26
52,7,3,0.69,-0.42,-0.47,Target,2025-03-27 15:20:28
53,7,4,1.05,-1.01,-0.42,Target,2025-03-27 15:20:29
54,7,5,0.54,-1.3,-0.26,Target,2025-03-27 15:20:30
55,7,1,0.39,-0.08,2.19,Shooting,2025-03-27 15:20:50
56,7,2,0.5,-5.93,3.86,Shooting,2025-03-27 15:20:54
57,7,3,0.47,1.51,-0.2,Shooting,2025-03-27 15:20:56
58,7,4,0.22,1.51,-0.2,Shooting,2025-03-27 15:20:59
59,7,5,0.02,0.72,-0.72,Shooting,2025-03-27 15:21:02
60,8,1,1.65,0.02,1.56,Target,2025-04-02 14:28:58
61,8,2,1.66,-0.33,1.89,Target,2025-04-02 14:29:00
62,8,3,5.09,-0.75,1.24,Target,2025-04-02 14:29:08
63,8,4,7.05,-1.04,0.76,Target,2025-04-02 14:29:09
64,8,5,3.29,0.02,1.56,Target,2025-04-02 14:29:12
65,8,1,0.8,1.05,0.39,Shooting,2025-04-02 14:29:42
66,8,2,0.48,1.05,0.39,Shooting,2025-04-02 14:29:46
67,8,3,1.17,1.58,-0.4,Shooting,2025-04-02 14:29:51
68,8,4,1.51,0.79,-0.41,Shooting,2025-04-02 14:29:56
69,8,5,0.61,0.79,-0.41,Shooting,2025-04-02 14:30:01
70,9,1,7.42,-6.76,6.08,Target,2025-04-04 14:46:42
71,9,2,7.55,1.7,1.26,Target,2025-04-04 14:46:43
72,9,3,6.69,0.17,0.82,Target,2025-04-04 14:46:44
73,9,4,8.59,0.89,-0.78,Target,2025-04-04 14:46:45
74,9,1,5.03,3.26,-0.5,Shooting,2025-04-04 14:47:15
75,9,2,0.87,1.66,-1.1,Shooting,2025-04-04 14:47:21
76,9,3,4.85,0.83,-0.28,Shooting,2025-04-04 14:47:28
77,9,4,0.3,0.83,-0.28,Shooting,2025-04-04 14:47:31
78,9,5,0.3,0.83,-0.28,Shooting,2025-04-04 14:47:35
79,10,1,1.04,0.33,0.61,Target,2025-04-08 12:27:33
80,10,2,1.11,0.37,-2.72,Target,2025-04-08 12:27:33
81,10,3,1.08,3.57,-2.52,Target,2025-04-08 12:27:34
82,10,4,0.66,-1.7,-2.49,Target,2025-04-08 12:27:35
83,10,5,1.04,0.33,0.61,Target,2025-04-08 12:27:36
84,10,1,0.95,1.1,-1.21,Shooting,2025-04-08 12:27:56
85,10,2,1.04,1.67,-1.5,Shooting,2025-04-08 12:28:01
